叉子[叉子],cha1zi5,N. fork M: bǎ / 把
// HelloChinese/Daily Schedule,,
每天[每天],mei3tian1,N. every day; daily
回[回],hui2,V. 1 circle; wind 2 answer; reply 3 refuse; decline 4 return; go back 5 turn around 6 trad. report back  M. 1 chapter 2 times  N. 1 Muslim 2 Hui ethnic minority
来[來],lai2,V. 1 come; arrive 2 crop up; take place 3 bring 4 do (specific meaning depending on context)  SUF. 1 ability 2 worthwhile effort/expense 3 beginning of an action 4 hypothetical action 5 -ly (after numerals) 6 time (since)  B.F. 1 future; later 2 coming 3 since  ADV. over; and more  CONJ. (in order) to  CONS. 1 V ∼ V qù V back and forth 2 wǒ(men) ∼ V let me/us V 3 cóng A ∼ jiǎng/kàn/shuō speaking/viewing/speaking from consideration of A
早饭[早飯],zao3fan4,N. breakfast
午饭[午飯],wu3fan4,N. midday meal; lunch
晚饭[晚飯],wan3fan4,N. supper; dinner M: dùn / 顿
什么时候[什麼時候],shen2me5 shi2hou5,at what time; when
上班[上班],shang4ban1,V.O. 1 go to work; be on duty 2 go to class
下班[下班],xia4ban1,V.O. go/knock off work  ATTR. next scheduled (flight/etc.)
上课[上課],shang4ke4,V.O. 1 attend class; go to class 2 give lessons/lectures
下课[下課],xia4ke4,V.O. get out of class; finish class
能[能],neng2,AUX. can; be able to; be capable of  B.F. 1 ability; capability 2 skill 3 phy. energy  CONS. ∼ A ∼ B can do/be/etc. both A and B
周末[周末],zhou1mo4,"N. , loan weekend"
// HelloChinese/Leisure,,
经常[經常],jing1chang2,ADV. 1 day-to-day; everyday; daily 2 frequently; constantly; regularly; often
干什么[幹什麼],gan4 shen2me5,"V.O. do what?  CONS. ∼ dōu/yě ... no matter what (sb. does), still ..."
听[聽],ting1,"V. 1 listen; hear 2 heed; obey 3 wr. administer 4 allow; let  M. , topo. tin; can"
玩[玩],wan2,V. 1 play; have fun; amuse oneself 2 employ; resort to 3 trifle with; treat lightly 4 enjoy; appreciate  B.F. object of appreciation  CONS. V-zhe ∼ do V just for fun
上网[上網],shang4wang3,V.O. 1 stretch a net (in a sports game or for covering sth.) 2 be on the Internet 3 be netted (of fish)
音乐[音樂],yin1yue4,N. music
游戏[遊戲],you2xi4,V. play  N. recreation; game
看[看],kan4,V. 1 see; look at; watch 2 read 3 think; consider 4 look upon; regard 5 treat 6 look after 7 call on; visit 8 depend on 9 mind; watch out 10 present (tea/wine/etc.) 11 ... and see 12 Look! (expressing surprise/rebuke)
电影[電影],dian4ying3,N. film; movie M: ²bù / 部
电视[電視],dian4shi4,N. television; TV M: ²bù / tái / 部 / 台
书[書],shu1,N. book  B.F. 1 style of calligraphy; script 2 letter 3 document 4 write
报纸[報紙],bao4zhi3,N. 1 newspaper 2 newsprint M: zhāng / fèn / 张 / 份
跟[跟],gen1,V. 1 follow 2 marry (of a woman)  COV. with; to; from  CONJ. and  N. heel  CONS. ∼ A jiè borrow from A
一起[一起],yi1qi3,ADV. 1 in the same place 2 together; in company 3 topo. altogether; in all
朋友[朋友],peng2you5,N. 1 friend 2 boyfriend/girlfriend M: ²wèi / 位
同学[同學],tong2xue2,N. 1 fellow student; schoolmate 2 address used in speaking to a student  V. be in the same school
同事[同事],tong2shi4,N. colleague; fellow worker M: ge / míng / ²wèi / 个 / 名 / 位  V. 1 work together 2 serve the same (king/etc.)
// HelloChinese/Appearance,,
胖[胖],pang4,S.V. fat; stout; plump
瘦[瘦],shou4,S.V. 1 thin; emaciated 2 lean (of meat) 3 tight (of clothing) 4 barren; unproductive (of land)
比[比],bi3,COV. compared to  V. 1 compare; contrast 2 emulate 3 draw analogy 4 copy 5 gesture  B.F. ratio  N. name of one of the Sixty-four Hexagrams (䷇)
帅[帥],shuai4,"B.F. commander in chief  N. 1 Surname 2 chess piece corresponding to the king (usu. red)  S.V. handsome; chic  V. , wr. command (army)"
高[高],gao1,S.V. 1 tall; high 2 above average 3 loud 4 lg. close; high (of vowels)  N. Surname
矮[矮],ai3,S.V. 1 short (of stature) 2 low
一点儿[一點兒],yi1dian3r5,ADV. a little; a bit; a small amount
眼睛[眼睛],yan3jing5,N. eye M: duì / 对
脸[臉],lian3,N. 1 face; countenance 2 topo. front
没有[沒有],mei2you3,V. not have; there is not; be without  ADV. less than; not more than
头发[頭髮],tou2fa5,N. hair (on the human head)
腿[腿],tui3,N. leg  B.F. ham
长[長],chang2,S.V. 1 long 2 lasting  ADV. steadily; regularly  B.F. 1 length 2 strong point  V. be strong/good (in/at)
短[短],duan3,S.V. short; brief  V. lack; owe  B.F. weak point
更[更],geng4,ADV. 1 more; still/even more 2 further; furthermore
最[最],zui4,ADV. most; superlatively
// HelloChinese/Clothes,,
衬衫[襯衫],chen4shan1,N. 1 shirt 2 blouse M: ²jiàn / 件
好看[好看],hao3kan4,S.V. 1 good-looking; nice 2 interesting; delightful 3 honored; proud  CONS. yǒu A de ∼ want to embarrass A; want to see A suffer
外套[外套],wai4tao4,N. 1 overcoat 2 loose coat; outer garment 3 jacket 4 shell M: ²jiàn / 件
件[件],jian4,M. (for articles/items/etc.)  B.F. correspondence; paper; document
毛衣[毛衣],mao2yi1,N. woolen sweater M: ²jiàn / 件
条[條],tiao2,"B.F. 1 sth. long and narrow; strip; slip 2 stripe; streak 3 item; article; clause 4 short note 5 lg. string 6 art. scroll suspension loop made of plain silk  M. (for long, narrow things)"
裤子[褲子],ku4zi5,N. pants; trousers M: tiáo / 条
裙子[裙子],qun2zi5,N. 1 skirt; petticoat 2 apron M: tiáo / 条
有点儿[有點兒],you3dian3r5,ATTR. some; a little  ADV. somewhat; rather; a bit
鞋[鞋],xie2,N. shoes
帽子[帽子],mao4zi5,N. 1 headgear; hat; cap 2 label; tag M: dǐng / 顶
